call_id,audio_transcript
322039292,"User: हेलो। हाँ जी।
Human: गुड मॉर्निंग सर। मैं दीपांशु बात कर रहा था स्पिनिंग पावर से।
User: हां, बोलिए भैया।
Human: जी सर, वो इंस्पेक्शन करवाया था ना आपने कार क-कार का?
User: हजारियर का?
Human: हां जी, हां जी।
User: हां, बोलिए भैया।
Human: तो उसके लिए अभी मतलब आपको प्राइस के लिए अभी कॉल आया है सर इंस्पेक्शन के लिए।
User: नहीं अभी नहीं आया, बताइए।
Human: हेलो.
User: अभी प्राइस से कॉल नहीं आया। सर बताइए, तो भाई एक हफ्ता हो गया मैंने कॉल भी किया था। उन्होंने बोला था आपको कॉल कर लेंगे।
Human: क्योंकि मेरी परसों भी आपसे वैसे बात हुई थी।
User: हां जी, बोलिए।
Human: ठीक है तो मैं एक बार ना सर अभी आपको कॉल करवा रहा हूं। ठीक है, आपने एक होम टेस्ट भी शेड्यूल की हुई है आज एक होंडा सिविक कार की।
User: हां भाई करी भैया उस दिन भी करी थी ना। पर उस दिन आपका एग्जीक्यूटिव पांच से छह का टाइम था, लेट हो गया था।
Human: हां, हां ये मैं अभी शेड्यूल करवा देता हूं। टेन वो मैं उसके लिए प्राइस के लिए पूछ लेता हूं अभी।
User: आपका क्या नाम है, भैया?
Human: मेरा नाम दीपांशु है, सर।
User: हां, दीपांशु जी, आप मुझे अपने नंबर से भेज दीजिएगा। इसमें कोई स्पैम आता है। एक बार अपने नंबर से हाई कर।
Human: हां, हां बिल्कुल, बिल्कुल, बिल्कुल, ठीक है सर।
User: था ना एक बार हाई कर दीजिएगा। भेज दीजिएगा गाड़ी।
Human: ठीक है सर, मैं कर देता हूं अभी आपको व्हाट्सएप मैसेज।
User: और एक बार प्राइस का भी बता दो, मेरा हजारियर का क्या बेस्ट मिल रहा है?
Human: हां जी, हां जी, मैं अभी पता करके आपको बता देता हूं।
User: ठीक है तो ये तुम्हारे यहां पे एक्सचेंज भी हो जाएगी ना भाई?
Human: हां, ये एक्सचेंज हो जाएगी सर।
User: ठीक है, क्योंकि मैं आपको बताता हूं मुझे नौ लाख रुपये का कार 74 से प्राइस आ रखा है। ठीक है तो मैंने उनसे नौ साठ बोल रखा है।
Human: हम्म।
User: तो आप इसमें देख लो। होता है तो कुछ।
Human: ठीक है, वो तो अभी एक बार जब आएगा ना। फिर उसके आने के बाद मैं देख लूंगा-
User: मेरे पास अभी तक कोई कॉल ही नहीं आई। मेरे पास किसी की कॉल ही नहीं आई अब तक। एक बार कॉल आई इसके बाद कॉल ही नहीं आई।
Human: मैं एक बार पहले आरएम अलाइन करवा देता हूं। दूसरा आपका एक बार सप्लाई टीम से ना कॉल करवा के प्राइस वो करवा लेता हूं, इनिशिएट। ठीक है सर?
User: ठीक है।
Human: ओके सर।"
322067064,"User: हेलो।
Human: हेलो!
User: हेलो।
Human: यश सर, मैं के साथ बात कर रही थी, स्पिनिंग से। आज क्या अपने स्पिनिंग में विजिट किया था? प्लान कर रहे थे व्हीकल को परटेस्ट के लिए।
User: जी, जी, जी।
Human: ऑल होंडा सिटी।
User: मैं ये कर देता हूं। मैं आया हूं अभी रोहिणी में।
Human: अच्छा।
User: ठीक है। मैं कल पता है मैं गाड़ी। पता है क्या बोल रहे थे?
Human: हां जी। मतलब अभी आप कार देखते हैं। अभी आप कार देखने आए हैं ना Cars24 में?
User: हां, रोहिणी में।
Human: कोई ना, आप आराम, आप आराम से यहां पर देख लीजिए। उसके बाद बता दीजिएगा। अगर कुछ रिक्वायरमेंट रहती है तो।
User: हां, वो देख के गया था कल। मुझे पसंद तो आया था।
Human: ओके।
User: मैं ये समझ नहीं आता है कि मैं किसको फोन करूं, किसको कोई रेफर नंबर नहीं है। किसको बात करूं?
Human: अच्छा! आप मुझे बता दीजिए सर आपके लिए मैं अलाइन हूं। क्या-क्या रिक्वायरमेंट ए रही है यह बताइए।
User: वो तो आप अभी फोन कर रहे हो। ऐसे में मैं कल देख के आया हूं। वहां पे तो मैं किससे बात करवा डालूं?
Human: आज मैं दिन से देख के आए थे, वो भी बता सकते हैं। बाकी मैं आपको बता सकती हूं डील के लिए। तो आप मुझे बता दीजिए क्या इशू आ रहा है?
User: वो मैंने कल मरूति कार देख के आया था.
Human: हां जी।
User: वो थोड़ा रेट महंगा पड़ रहा है। उसमें काफी प्राइस उन्होंने हाई रखा हुआ है। जो थोड़ा उसमें प्राइस कंसर्न करें तो मेरे को लगता है।
Human: प्राइस का तो ऐसा सर देखिए कंसेशन नहीं होता। फिक्स प्राइस है क्योंकि क्वालिटी वारंटी वगैरा भी हम प्रोवाइड करते हैं। तो अभी के लिए जो प्राइस इसमें ऑफर हो रहा है वो 7,74,000 है और अगर सेम डे डिलीवरी ले लेते हैं तो थोड़ा बहुत कुछ बढ़ सकता है। बट विदाउट सेम डे डिलीवरी जैसे ले रहे हैं तो उसके अलावा।
User: सेम डे डिलीवरी अभी अभी डील बनती है तो मैं अभी जाकर पैसे सारा कैश में पैसे दूंगा और अभी लूंगा डील बस प्राइस की कोई बात नहीं है। तुरंत पेमेंट।
Human: करूंगा। टोटल। कैश करना है आपका।
User: हां, पूरा कैश। मेरा लोन का कोई शिकार नहीं है। आप तुरंत लेकर लौट जाओगे। क्योंकि मैं द्वारका सेक्टर वन में ही रहता हूं।
Human: नहीं नहीं, ऑनलाइन ट्रांसफर करेंगे। मतलब कैश तो ₹2 लाख ही एक्सेप्ट हो पाता है ओनली।
User: वो तो हो जाएगा बाकी तुरंत कर देंगे पेमेंट सारा, एक मिनट भाई।
Human: ठीक है, एक मिनट वेट करिएगा।
User: हां, लेकिन रेट थोड़ा सा बोलिएगा कितना कंसर्न हो। रेट दे देगा ना तो मैं कर लूंगा। ठीक है ना? ठीक है, बताइएगा।"
322096063,"User: हैलो। हैलो।
Human: है ना जी?
User: हां जी, गुड आफ्टरनून सर। अभी हर्षित बात कर रहा हूं स्पिनिंग कार से।
Human: हम्म, सही है।
User: सरकार एक्सप्लोर कर रहे थे। उसके रिगार्डिंग कॉल कर रहे थे। अभी प्लान कर रहे हैं कार।
Human: हां, लेकिन फिर भी तो 2024 मॉडल चाहिए।
User: 24 मॉडल कौन सी देते हैं?
Human: नहीं नहीं नहीं सिर्फ-
User: हां जी?
Human: स्विफ्ट, स्विफ्ट।
User: स्विफ्ट चाहिए 24 मॉडल? मिल जाएगी सर?
Human: 2024 मॉडल स्विफ्ट डेटेक्ट।
User: ठीक है सर, एक मिनट मैं आपको बता देता हूं। 23, 24 मॉडल है मेरे पास। एक, दो, तीन। अपनी 24 जेडएक्स आई प्लस है, 24 मॉडल है स्विफ्ट जेडएक्स आई प्लस। शादीनगर एक्सटेंशन में गाड़ी मेरी खड़ी है। यह सिल्वर कलर है...
Human: मैनुअल, मैनुअल है।
User: मैनुअल। हां जी मैनुअल है।
Human: 17,002।
User: जेडएक्स आई प्लस 17 मंथ है नवंबर 24।
Human: नवंबर वाला तो न्यू मॉडल होगा ना। जो भी आ रहा है।
User: है न्यू शेप वाला है न्यू शेप वाला। जैसे जून 24, जून 24 का इसका मेक यर है और नवंबर 24 का रजिस्ट्रेशन है। वो जो न्यू शेप में आई थी। न्यू शेप आ गया था ना अब तक।
Human: हां, नहीं मुझे उस से पिछले वाली शेप वाली थी वो नॉर्मल हां।
User: हां, समझ गया मतलब。 दूसरा वाला शेप चाहिए आपको।
Human: बिलकुल दूसरा।
User: नहीं सर, तो फिर वो शेप नहीं है। 23 की मिल जाएगी फिर अपनी, अपनी 24 और 23 में मिल जाएगी पुराने शेप में। मैनुअल है 3400 चली हुई है गाड़ी पर।
Human: ग्रे, ग्रे कलर में।
User: रेड कलर है। लेकिन जेडएक्स आई नहीं है वो जेडएक्स आई नहीं है। नहीं, नहीं ये वेरिएंट है ही नहीं है सर। एक है आपके प्रेफरेंस का तौर लेकिन इसमें आपको वो नयू लिखो, मतलब न्यू शेप वाला है।
Human: हम्म बिल्कुल, बिल्कुल।
User: और भी देख रहा हूं सर एक मिनट मैं आपको बता रहा हूं कि इसमें मेरे पास गुड़गांव में तो गाड़ी है नहीं और जो है पर मैं करनाल में देख लेता हूं अपने आस-पास की। नहीं सर नहीं है गाड़ी ये प्रेफरेंस में है ये कार नहीं है। जैसे ही आती है मैं आपको बताता हूं।
Human: बिल्कुल बिल्कुल बिल्कुल ठीक है।"
322101613,"User: हेलो। हेलो। हेलो। हेलो।
Human: हां जी, गुड आफ्टरनून सर। गौरव जी। हर्षित बात कर रहा हूं स्पिनिंग एर से। हां जी, ठीक है। ये सर कार एक्सप्लोर कर रहे थे। उसके रिगार्डिंग कॉल कर दी सर आपको। कल अपनी फ्रेंड मैग्नेट की होम टेस्ट हुई थी सर तो ओवरऑल एक्सपीरियंस कैसा रहा सर? कार का प्लान कर रहे हैं आप?
User: हां उसके लिए क्या करना, क्या करना पड़ेगा उसके लिए परचेज करने के लिए फाइनेंस करने के लिए। फाइनेंस करने के लिए पहले वो हमारे एप से आप एप्लीकेशन बुक करके कार बुक कर लीजिए फिर मेरी फाइनेंस टीम आपको कनेक्ट कर लेगी। डॉक्यूमेंट शेयर आप कर देंगे, फिर लोन हो जाएगा सर। अच्छा पहले एप से बुकिंग कर दूं। अच्छा एप से बुक करेंगे। बुक करने के बाद अभी मेरी डॉक्युमेंट टीम कनेक्ट करेगी। आपके डॉक्युमेंट कलेक्ट करेगी। फिर मेरा फाइनेंस आपको कनेक्ट करके लोन करवा देगा सर। एक बार ये थोड़ा सा कंफर्म हो जाना लोन में लोन हो जाएगा या नहीं हो जाएगा। और उसी के लिए हां वो तो सर लोन तो हो ही जाएगा लोन के लिए मतलब वो अभी टीम कनेक्ट करेगी तो फिर आपको सब गाइड कर देगी क्योंकि कोई भी इसमें जो है ना वो जो पाँच हज़ार रुपये से गाड़ी बुक होती है वो आपका हंड्रेड परसेंट फंडे वाला ₹1 का भी डिडक्शन नहीं आता। सर वो तो जी हां सिर्फ इसकी टीम कनेक्ट करेगी हमारी से आप टीच कर सकते हो। वो तो अभी ठीक है पर ऐसे हम न्यू गाड़ी खरीदते हैं शोरूम से वहां पे ऐसा कुछ नहीं होता पहले बुक कर के कुछ भी करते हैं पहले डॉक्युमेंट मांगते हैं तो यहां पे आ जाइए हां हां जी आ जाइए डॉक्युमेंट देखिए वो आपको बता देंगे लोन कितना हो जाएगा। हां हां वही ना वही तो कह रहा हूं ना ठीक है हां जाइए ठीक ठीक है सेक्टर 19 सेक्टर 48 वाले से 40 सोना सोना सोना सोना। यूनिवर्सल पावर रेडियेशन के बगल में। लोकेशन मिल जाती है उसके बारे में सर। हां गूगल पर मिल जाएगा ना आपको वहां पर लिखिए वहां पर मैं क्या कहना पड़ेगा यूनिवर्सल ट्रेड टावर या स्पिनिंग ऐप लिख दीजिए। सेक्टर 48 सेक्टर 48 सेक्टर 48 स्किनिंग आब तो आ जाएगा। यूनिवर्सल ट्रेड टावर चलो ठीक है, ठीक ठीक है, ठीक है।"
322102895,"User: हैलो।
Human: हैलो सर, नमस्कार शुभम बात कर रहा हूं स्पिनिंग कार पे।
User: जी बताइए।
Human: जी, सर आप स्पिनिंग से कार देख रहे थे तो आपका प्लानिंग बना क्या कार बाय करने का?
User: है ही नहीं तुम्हारे पास, गाड़ी लू तो जब। मुझे छोटी मोटी नहीं चाहिए।
Human: ओके सर, आप कौन सा कार देखना चाहते हैं स्पिनिंग से?
User: मुझे चाहिए थी वो सेल्टोस जीटी वेरिएंट।
Human: सेल्टोस जीटी वेरिएंट और...
User: XUV, XUV 700।
Human: ओके और डेल्ही एनसीआर आते हो कि कार चलेगी?
User: डेल्ही एनसीआर में ही चलेगी गाड़ी।
Human: ठीक है, ठीक है सर सेल्टोस में मैं चेक कर लेता हूं। जीटी वेरिएंट में हमारे पास क्या ऑप्शन अवेलेबल है?
User: हम्म।
Human: सर लाइन पे बना रहिएगा, मैं चेक कर ले रहा हूं।
User: हम्म।
Human: हाँ सर देखिए जीटी में तो हमारे पास ऑप्शन अवेलेबल नहीं है। जीटीएस में ऑप्शन अभी हमारे पास अवेलेबल है सर।
User: बताइए डिटेल भेजो ।
Human: ठीक है सर। और सर आपका बजट क्या रहेगा सेल्टोस के लिए?
User: भाई वो तो देखो डिपेंड करता है कि वो क्या मॉडल है, कैसी है। बजट तो मेरा है 10 लाख का लास्ट।
Human: चलिए ठीक है सर मैं कुछ ऑप्शन आपके व्हाट्सएप पर शेयर कर दे रहा हूं। आप कार देख लीजिए कार पसंद आता है तो आप पे कर प्लानिंग कर लीजिएगा।
User: वो भी चल जाएगी अगर 700 है तो।
Human: XUV 700। ठीक है, ठीक है दोनों ही ऑप्शन मैं आपको व्हाट्सएप पर शेयर कर दे रहा हूं।
User: ठीक है, बस ये दो ही गाड़ियां चाहिए है मुझे।
Human: ठीक है।
User: न्यू शेप वाली जो क्रेटा जो चल रही है ये भी चल जाएगी। न्यू शेप वाली लेकिन। और बजट मेरा यही है 10-12 लास्ट बस।
Human: ठीक है सर, ठीक है मैं कुछ ऑप्शन आपके व्हाट्सएप पर शेयर कर दे रहा हूं। आप देख लीजिए।
User: ठीक है, दिखा दो।"
322111811,"User: हेलो।
Human: हेलो! मैं निकेता बात कर रही थी स्पिन्निंग लॉजिस्ट से।
User: हाँ जी।
Human: क्या आपने स्पिनिंग लॉजिस्ट विजिट किया है या प्लान कर रहे हैं कल को परचेज के लिए?
User: मैम वो टेस्ट ड्राइव भी नहीं मिल पाई वहां से। अंदर-अंदर चलाने को समझ पा रही हूं।
Human: ओके, तो दोबारा से सर्विस लेने का कुछ प्लान कर रहे हैं। मैं एक बार फोन दूंगी, बाहर अरेंज करवा देंगे आपके लिए।
User: करवा दो मैम। हां, आजकल में कभी भी।
Human: आप आ सकते हैं, मतलब कब आने का प्लान कर रहे हैं आप?
User: नहीं मैम, मैं तो कल गया था ना। तो वहां पे वो बाहर गाड़ी का नहीं है, वो अंदर-अंदर बोल रहा था कि बुक कर देना सर आप जी पास आ जाइए।
Human: अच्छा तो आप आज बुक कर लीजिए। मैं भिजवा दूंगी आज शाम तक या कल तक।
User: मैम आप कर दो फिर ऑनलाइन मेरे को, मतलब आप ही कर दो बुक।
Human: नहीं, बुकिंग के लिए अमाउंट रहता है फिफ्टी-अअअ- फाइव थाउजेंड रूपीस का अमाउंट आपको पे करना होगा। मैं लिंक शेयर कर सकती हूं।
User: मैम टेस्ट ड्राइव बुक करने की कह रहा हूं, मैं टेस्ट ड्राइव बुक करने की कह रहा हूं।
Human: अच्छा टेस्ट ड्राइव के लिए आप कह रहे हैं। अअअ कितने किलोमीटर से है मतलब बुक करने के लिए अगर कार है तो मुझे एक बार चेक करना होगा ना? कितने किलोमीटर से है आपका एड्रेस?
User: सेटरन वर्क से सेटर एक्सप्रेस मैम... मुश्किल से पंद्रह किलोमीटर होगा।
Human: हां, ठीक है फिर करा देती हूं विदाउट बुकिंग। आप यह बता दीजिए कि वर्टस करनी है, वरना करनी है। कौन सी कार देख रहे हैं? इसमें दो या तीन हैं। दो वरना मार्क है, एक वर्टस मार्क है जो आपने देखी है। तो इसमें से कौन सी वाली होम टेस्ट ड्राइव तैयार है?
User: वर्टस कौन सी वाली है?
Human: वर्टस एक रेड वाली आपने अअअ देखी थी। शायद बाइस मॉडल है जो इलेवन लाख की है। एक आपने तेईस मॉडल वरना देखी है। एक आपने चौबीस मॉडल वरना देखी है।
User: तरबू है ना वो चौबीस मॉडल से।
Human: चौबीस मॉडल वरना आपको रिक्वायरमेंट है।
User: जो बारह-सत्तर की है शायद।
Human: हां, उम्म, ट्वेल्व एटी थ्री की है ट्वेल्व एटी थ्री।
User: अच्छा अच्छा, और ये वर्टस कौन सी है? वर्टस कितने की है? दस-अस्सी की?
Human: हां जी, एक मिनट मैं चेक कर रही हूं कितनी की है। कल का बारह बजे का स्लॉट मिल रहा है वैसे मुझे होम-
User: वर्टस का करवा दूं मैम, वर्टस का करवा दो।
Human: वर्टस इलेवन लाख की है, इलेवन लाख। बाईस मॉडल है बट वो और वो वरना ग्यारह-अअअ-चौबीस मॉडल देख रहे हैं। ये वर्टस बाईस मॉडल है ऑटोमेटिक।
User: मैम कल तो दस-सत्तर बताए दिए प्राइस तो ग्यारह बता रहे हो आप।
Human: नहीं दस-सत्तर का प्राइस नहीं है इलेवन अअअ सिक्स का ही प्राइस है। इलेवन लाख सिक्स थाउजेंड। हो सकता है कल अगर कोई सेल का ऑफर चल रहा हो इसमें, तो रिफ्लेक्ट कर रहा हो। बाकी मुझे तो यही सेम प्राइस शोर है।
User: अच्छा अच्छा।
Human: हां जी।
User: चलो फिर मैम रहने दो। अब तो ये मत करो बुक मैं अपने आप कर लूंगा यहां पे ना ऑनलाइन बुक कर रहे हैं हम लोग।
Human: वरना की भी रिक्वायरमेंट नहीं है। फिर वरना भी कैंसिल कर दूं?
User: हां मैम कर दो कर दो।
Human: ठीक है, आप एक बार अपने साइट से होम टेस्ट ड्राइव बुक कर लीजिए, जो भी आपने पसंद करी है। ओके।"
322151141,"User: हेलो हेलो डी पर बात कर रहा है निकाल
Human: दीपक जी। एक मिनट आप प्लीज।
User: जी सर। और। हेलो हेलो।
Human: हेलो हेलो।"
322210905,"User: नंबर है हेलो। नमस्कार सर, मैं अमन बात कर रहा हूं। सुनिए जी सर, मैं कार के बिहाफ़ पर कॉल किया था आपको आप कार देख रहे थे। इस पर चेज के लिए। जी जी जी। तो आपने ट्रांसफर बुक कर रखी है। मारुति स्विफ्ट कार की तो आप अभी आ रहे हैं। वैसे इस्तेमाल कर सकते। सर अभी तो मैं बेटी की थोड़ा दवा लेने आया हूं। यहीं गाजीपुर में। और उसके बाद सर फ्री होता हूं। तो फिर मैं कॉल कर सकता हूं इसी नंबर पर। हां जी, बिल्कुल बिल्कुल। और सर, एक बार रेट है कुछ और जैसे जो अभी आपने डाल रखा है उससे। ₹3 लाख की गाड़ी है सर ये। कंप्लीट हां जी हां जी ऑन रोड ₹3 लाख की आफ्टर पड़ रही है। गाड़ी सब ठीक है लेकिन कुछ मतलब क्या हो सकता है? डिस्काउंट वगैरा कुछ होगा या नहीं हो पाएगा? नहीं। सेम डे डिलीवरी के डिस्काउंट होते हैं। अगर आप डिलीवरी लेते हो तो जैसे ₹3000 का ऑफर चल रहा है, मेरे पास अभी कूपन पड़ा हुआ है। तीन गाम। हां जी, ₹3 लाख का, ₹3000 का मेरे पास ऑफर है गाड़ी पर। और सर, जैसे हम इसको अगर यूपी में ट्रांसफर कराना चाहेंगे तो क्या हो पाएगा? नहीं, नोट नहीं मिलेगी। जब�आ सी आपके नाम पर हो जाएगी तो उसके बाद आप लीगल गाड़ी के मालिक हो तो आप इसको आरटीओ से करवा सकते हो। अच्छा आरटीओ से मुझे खुद अपना पर्सनल मतलब खर्ची पर कराना पड़ेगा। बिल्कुल बिल्कुल उसपे नहीं आंसर ट्रांसफर करवा के देती है। आरटीओ ट्रांसफर नहीं करवाती है सर। उसके बारे में कुछ जानकारी चाह रहा था। सर कितना उसका खर्चा आ जाता होगा? सर इस गाड़ी के बियाप पर भी मैं देखूं तो ज्यादा 15 से 18 हज़ार रुपए का खर्चा आएगा आपका। आरटीओ ट्रांसफर का। जी अब आरटीओ ट्रांसफर का 15 से 18 हज़ार रुपए। मैं कहूं तो आप गाड़ी पाँच साल के लिए एक्सटेंड करवा लोगे यूपी में। हां, इसीलिए तो सर सोच रहे थे। नहीं नहीं ठीक है सर, उस हिसाब से तो ठीक है सर। हां, तो वही चीज तो है। अगर मान लो दिल्ली से अगर नोएडा गाजियाबाद में करा लेते हैं सर, तो भी इतना खर्चा आएगा। आप वैसे हां सर, देखो इतना ही आएगा सर, वैसे वहां पर भी। इसलिए पूछ रहा था ना कि मैं तो सर फर्रुखाबाद का हूं। यूपी में फर्रुखाबाद। करवाना है ज्यादा बढ़िया है सर आपके लिए। अच्छा अच्छा हां सर, ठीक है मैं फ्री हो गई। फिर आपको कॉल रिटर्न करता हूं। सर ठीक है, जाओ सर"
322225696,"User: अधिकारवालों ने जांच की। हैलो। हैलो हैलो नमस्कार सर मैं अमन बात कर रहा हूं सुनकर से। ओके। आप कार देख रहे थे फिनिश परचेज के लिए आपने कल एक ड्राइव ली थी ना? किया केरेंस 2023 मॉडल कार की। तो जान सकते हो गाड़ी का एक्सपीरियंस कैसा आता है सर? वैसे आपको गाड़ी तो ठीक से भैया। ओके तो अभी प्लान कर रहे हैं वैसे इस गाड़ी को परचेज के लिए सर प्लान तो कर सकते हैं लेकिन बजट की अंतरताल बाजेट के बाहर जा रही है। कितने तक की बजट है सर? वैसे आपकी 14 तक का दिख रहा था। 14 तक का चाहिए। फिर 1 लाख 73 हज़ार रुपए ज्यादा है आपके लिए ना? कोई नहीं चेक कर लो। और भी ऑप्शन है केयरन से। अगर कोई आपके बजट में सूटेबल आपको लगे तो आप प्लान कर सकते हो सर। इसमें कुछ काम नहीं हो सकता ना? नहीं नहीं सर। एक्चुअली फिक्स प्राइस मॉडल पर कम कंपनी वर्क करती है। सर आप एक्सचेंज भी करेंगे मेरे हिसाब से। एक्सचेंज नहीं करना है हमें तो। अच्छा अच्छा नहीं एक्सचेंज करोगे तो आपके लिए ₹20,000 का एक्सचेंज बोनस और मिल जाएगा। बस और कोई नेगो सेशन है सर। कार्ड है नहीं मेरे पास और अच्छा नहीं। इसमें कोई नेगो सेशन तो नहीं है वो अभी फिक्स प्राइस पर ही है। 3 साल की वारंटी के साथ मिल रही है गाड़ी आपको और ये गाड़ी 28 तारीख को आ रही है हमारे पास नईोली कार इसलिए इसलिए इस गाड़ी पर कोई डिस्काउंट श्योर नहीं करता। अच्छा हां आप चाहो तो सारे 10 तक बच सकता हूं। सर सच बताऊं मेरे पास ₹6000 या ₹5000 का भी ऑफर नहीं है इस गाड़ी के लिए अभी तो महंगी लग रही है। सर बता दूं बिकॉज गाड़ी अभी हम क्या होता है? बेसिकली कुछ गाड़ियों पर ऑफर्स होते हैं तो हमें दिख जाते हैं जब मांग की मांग पर और अगर मांग लें. एक महीने से खड़ी है आपकी उस पर और उस पर तो आप डालते होंगे डिस्काउंट तो एक महीने से हमारे पास मैक्सिमम गाड़ी है। हमारे पास मैक्सिमम जो गाड़ी होती है वो हम. हमारा टर्म होता है तीन महीने के अंदर का. तीन महीने के अंदर मैक्सिमम गाड़ी. तीन महीने ज्यादा की गाड़ी कोई छड़ी मिलेगी नहीं आपके पास. ये वाली गाड़ी अभी 28 तारीख को आई है मार्च में हमारे पास. एक महीने पुरानी होने के बाद उसपे कुछ ऑफर दिखने लग जाते हैं कि यहां पाँच हज़ार 7000. बट आप जो कह रहे हो ना उतना तो किसी भी गाड़ी पर कभी ऑफर होगा ही नहीं सर। जी सर. ठीक है ठीक है सर. अगर ये वाली प्लान कर सके तो आप बुक कर सकते हैं. अभी लाइव है गाड़ी आपके लिए. हां वही लेकिन बजट से नहीं कर पाऊंगा. ठीक है, चलो अब।"
322238368,"User: हैलो। हेलो! रोहिनी मयंक जी दीपक बात कर रहा हूं स्पिनिंग कार से सर। हां जी बोलिए। हां सर, कार एक्सप्लोर कर रहे थे। अभी कार फाइनल हुई सर आपकी? नहीं, अभी तो मैंने एक कार की टेस्ट ड्राइव ली थी आपक्या से? बट वो कार दोबारा शो कर नहीं रही आपकी साइट पर। तो सर वो गाड़ी बुक हो गई है। डिलीवर भी हो गई होगी सर वो गाड़ी। ये होंडा सिटी के लिए आप बोल रहे हैं क्या? हां जी, हां जी। मैंने टेस्ट ड्राइव ली थी अभी इसकी। एक सेकंड सर रुकिए मैं चेक कर लेता हूं, मैं चेक कर लेता हूं एक सेकंड। नहीं सर, कार अभी सोल्ड नहीं हुई है। कार अभी रिपब्लिक देंटर पर है तो जैसे ही कार आएगी सर आपको इन्फॉर्म कर... अभी कहां पर है कार? ये सर रोहिणी शोरूम पर है। अच्छा, बट वो ऑनलाइन तो शो नहीं हो रही है ना। सर आप चेक करेंगे दिख जाएगी आपको एक बार चेक कर लीजिए। एक बार कार के डिटेल्स बताइए। सर, 2023 मॉडल है होंडा सिटी जेड एच पेट्रोल में। हां, जी हां सर, वही है। कलर क्या है? ग्रे कलर है सर। 10 हज़ार किलोमीटर ड्रिवन है। हां, जी जी। प्राइस कितना आ रहा है सर? 12 लाख 46 हज़ार रुपये है। 12 लाख 46 हज़ार? हां, वही प्राइस इसका ज्यादा आ रहा था ना? सर अभी गाड़ी अवेलेबल है, आप चाहे तो बुक कर सकते हो। नहीं बुक तो कर सकते हैं, बट प्राइस थोड़ा नेगोशिएबल भी नहीं है। नहीं सर प्राइस फिक्स्ड प्राइस है सर जो कार आपको शो कर रहा है, प्राइस वही है सर। ऑन टेबल बताइए क्या हो जाएगा मैं...? सर फाइनल प्राइस यही है सर 12 लाख 46 हज़ार। 11 लाख 46 हज़ार जब मैंने... 12 लाख 46 हज़ार। हां, हां 12 लाख 46, जब मैंने टेस्ट ड्राइव ली थी तब 12 लाख 12 हज़ार दिखा रहा था। सर उस टाइम से सेल डिस्काउंट का बढ़ाया नह है। सेल डिस्काउंट का आपने सेल पे गाड़ी बुक नहीं की थी सर, उस टाइम सेल डिस्काउंट पे आपने टेस्ट ड्राइव ली थी। बढ़ाते नहीं है सर प्राइस। अच्छा। मैं देखता हूं और बाकी कोई देखता हूं जिसका बजट मेरे को लगेगा। ठीक है सर।"
